Loading Quora data...
Starting training...
eval_loss:   53.374
valid_acc:   0.850
eval_acc:    0.850


train_loss:  141.774
valid_loss:  51.884
eval_loss:   51.734
valid_acc:   0.854
eval_acc:    0.852


train_loss:  142.904
valid_loss:  53.401
eval_loss:   52.833
valid_acc:   0.847
eval_acc:    0.848


train_loss:  140.527
valid_loss:  53.999
eval_loss:   53.495
valid_acc:   0.851
eval_acc:    0.851


train_loss:  142.203
valid_loss:  56.946
eval_loss:   56.762
valid_acc:   0.841
eval_acc:    0.840


train_loss:  144.835
valid_loss:  53.543
eval_loss:   53.296
valid_acc:   0.851
eval_acc:    0.850


train_loss:  140.788
valid_loss:  51.515
eval_loss:   51.015
valid_acc:   0.855
eval_acc:    0.858

  epoch: 5

train_loss:  130.355
valid_loss:  52.286
eval_loss:   50.913
valid_acc:   0.857
eval_acc:    0.860


train_loss:  131.662
valid_loss:  51.958
eval_loss:   50.472
valid_acc:   0.856
eval_acc:    0.861


train_loss:  131.162
valid_loss:  51.185
eval_loss:   49.984
valid_acc:   0.860
eval_acc:    0.862


train_loss:  132.905
valid_loss:  52.292
eval_loss:   50.729
valid_acc:   0.854
eval_acc:    0.857


train_loss:  132.497
valid_loss:  53.525
eval_loss:   52.689
valid_acc:   0.850
eval_acc:    0.854


train_loss:  132.425
valid_loss:  51.685
eval_loss:   50.579
valid_acc:   0.857
eval_acc:    0.855


train_loss:  133.726
valid_loss:  53.386
eval_loss:   52.353
valid_acc:   0.850
eval_acc:    0.856


train_loss:  135.656
valid_loss:  52.021
eval_loss:   nan
valid_acc:   0.853
eval_acc:    0.860


train_loss:  134.210
valid_loss:  52.744
eval_loss:   51.303
valid_acc:   0.851
eval_acc:    0.860


train_loss:  133.433
valid_loss:  50.955
eval_loss:   49.996
valid_acc:   0.855
eval_acc:    0.859


train_loss:  133.743
valid_loss:  51.434
eval_loss:   50.541
valid_acc:   0.854
eval_acc:    0.857


train_loss:  135.526
valid_loss:  51.946
eval_loss:   51.496
valid_acc:   0.854
eval_acc:    0.859

  epoch: 6

train_loss:  122.873
valid_loss:  52.304
eval_loss:   51.838
valid_acc:   0.853
eval_acc:    0.858


train_loss:  123.993
valid_loss:  52.264
eval_loss:   50.917
valid_acc:   0.852
eval_acc:    0.860


train_loss:  125.140
valid_loss:  51.226
eval_loss:   50.069
valid_acc:   0.857
eval_acc:    0.862


train_loss:  124.252
valid_loss:  51.328
eval_loss:   50.262
valid_acc:   0.855
eval_acc:    0.862


train_loss:  126.415
valid_loss:  53.777
eval_loss:   53.299
valid_acc:   0.853
eval_acc:    0.854


train_loss:  126.827
valid_loss:  55.221
eval_loss:   54.751
valid_acc:   0.849
eval_acc:    0.845


train_loss:  125.035
valid_loss:  52.371
eval_loss:   51.547
valid_acc:   0.853
eval_acc:    0.856


train_loss:  131.201
valid_loss:  52.496
eval_loss:   51.196
valid_acc:   0.854
eval_acc:    0.859


train_loss:  124.972
valid_loss:  50.477
eval_loss:   49.620
valid_acc:   0.858
eval_acc:    0.861


train_loss:  128.470
valid_loss:  52.627
eval_loss:   51.268
valid_acc:   0.853
eval_acc:    0.860


train_loss:  126.816
valid_loss:  56.823
eval_loss:   55.842
valid_acc:   0.840
eval_acc:    0.839


train_loss:  130.522
valid_loss:  50.320
eval_loss:   49.732
valid_acc:   0.860
eval_acc:    0.862

  epoch: 7

train_loss:  117.707
valid_loss:  52.889
eval_loss:   52.403
valid_acc:   0.851
eval_acc:    0.854


train_loss:  118.481
valid_loss:  52.079
eval_loss:   51.207
valid_acc:   0.853
eval_acc:    0.854


train_loss:  120.219
valid_loss:  51.624
eval_loss:   50.396
valid_acc:   0.855
eval_acc:    0.859


train_loss:  119.231
valid_loss:  50.728
eval_loss:   50.147
valid_acc:   0.859
eval_acc:    0.859


train_loss:  119.975
valid_loss:  52.702
eval_loss:   52.064
valid_acc:   0.855
eval_acc:    0.857


train_loss:  120.977
valid_loss:  52.638
eval_loss:   52.203
valid_acc:   0.855
eval_acc:    0.861


train_loss:  121.230
valid_loss:  54.408
eval_loss:   54.207
valid_acc:   0.853
eval_acc:    0.851


train_loss:  121.276
valid_loss:  51.264
eval_loss:   50.337
valid_acc:   0.856
eval_acc:    0.862
