Loading Quora data...
Starting training...
eval_loss:   57.213
valid_acc:   0.834
eval_acc:    0.834


train_loss:  145.365
valid_loss:  57.421
eval_loss:   56.909
valid_acc:   0.833
eval_acc:    0.837


train_loss:  144.402
valid_loss:  58.445
eval_loss:   58.404
valid_acc:   0.831
eval_acc:    0.830


train_loss:  146.043
valid_loss:  57.214
eval_loss:   58.301
valid_acc:   0.835
eval_acc:    0.832


train_loss:  143.703
valid_loss:  60.230
eval_loss:   60.744
valid_acc:   0.823
eval_acc:    0.821


train_loss:  144.547
valid_loss:  59.404
eval_loss:   59.198
valid_acc:   0.828
eval_acc:    0.831


train_loss:  145.317
valid_loss:  58.922
eval_loss:   58.560
valid_acc:   0.830
eval_acc:    0.832

  epoch: 5

train_loss:  132.674
valid_loss:  57.615
eval_loss:   58.145
valid_acc:   0.832
eval_acc:    0.831


train_loss:  132.284
valid_loss:  58.019
eval_loss:   58.227
valid_acc:   0.830
eval_acc:    0.829


train_loss:  136.496
valid_loss:  59.945
eval_loss:   60.094
valid_acc:   0.828
eval_acc:    0.827


train_loss:  136.430
valid_loss:  63.145
eval_loss:   62.673
valid_acc:   0.816
eval_acc:    0.818


train_loss:  134.348
valid_loss:  58.737
eval_loss:   59.186
valid_acc:   0.828
eval_acc:    0.828


train_loss:  136.449
valid_loss:  59.202
eval_loss:   59.460
valid_acc:   0.836
eval_acc:    0.829


train_loss:  136.089
valid_loss:  59.403
eval_loss:   58.854
valid_acc:   0.826
eval_acc:    0.830


train_loss:  135.565
valid_loss:  60.231
eval_loss:   59.788
valid_acc:   0.828
eval_acc:    0.827


train_loss:  138.646
valid_loss:  57.613
eval_loss:   56.890
valid_acc:   0.832
eval_acc:    0.836


train_loss:  139.886
valid_loss:  61.491
eval_loss:   61.091
valid_acc:   0.824
eval_acc:    0.825


train_loss:  139.593
valid_loss:  57.560
eval_loss:   57.441
valid_acc:   0.838
eval_acc:    0.841


train_loss:  139.485
valid_loss:  56.881
eval_loss:   56.485
valid_acc:   0.839
eval_acc:    0.840

  epoch: 6

train_loss:  127.047
valid_loss:  58.236
eval_loss:   57.193
valid_acc:   0.836
eval_acc:    0.838


train_loss:  127.004
valid_loss:  59.108
eval_loss:   59.691
valid_acc:   0.828
eval_acc:    0.826


train_loss:  129.487
valid_loss:  61.855
eval_loss:   62.198
valid_acc:   0.817
eval_acc:    0.810


train_loss:  128.315
valid_loss:  58.297
eval_loss:   58.116
valid_acc:   0.833
eval_acc:    0.832


train_loss:  129.076
valid_loss:  57.605
eval_loss:   56.660
valid_acc:   0.833
eval_acc:    0.841


train_loss:  128.224
valid_loss:  61.646
eval_loss:   61.640
valid_acc:   0.826
eval_acc:    0.829


train_loss:  130.808
valid_loss:  58.729
eval_loss:   58.774
valid_acc:   0.826
eval_acc:    0.827


train_loss:  131.035
valid_loss:  57.025
eval_loss:   57.382
valid_acc:   0.835
eval_acc:    0.836


train_loss:  129.148
valid_loss:  62.262
eval_loss:   63.254
valid_acc:   0.814
eval_acc:    0.811


train_loss:  131.629
valid_loss:  64.660
eval_loss:   65.690
valid_acc:   0.802
eval_acc:    0.803


train_loss:  133.517
valid_loss:  57.535
eval_loss:   57.651
valid_acc:   0.834
eval_acc:    0.834


train_loss:  130.953
valid_loss:  61.666
eval_loss:   62.851
valid_acc:   0.814
eval_acc:    0.805

  epoch: 7

train_loss:  121.190
valid_loss:  62.440
eval_loss:   62.762
valid_acc:   0.814
eval_acc:    0.816


train_loss:  122.361
valid_loss:  64.707
eval_loss:   64.508
valid_acc:   0.800
eval_acc:    0.803


train_loss:  124.020
valid_loss:  57.853
eval_loss:   59.098
valid_acc:   0.829
eval_acc:    0.826


train_loss:  121.598
valid_loss:  62.190
eval_loss:   61.923
valid_acc:   0.823
eval_acc:    0.827


train_loss:  121.775
valid_loss:  57.850
eval_loss:   58.513
valid_acc:   0.837
eval_acc:    0.831


train_loss:  126.677
valid_loss:  57.784
eval_loss:   58.022
valid_acc:   0.835
eval_acc:    0.835


train_loss:  124.193
valid_loss:  61.596
eval_loss:   61.902
valid_acc:   0.812
eval_acc:    0.813


train_loss:  127.120
valid_loss:  56.906
eval_loss:   57.523
valid_acc:   0.835
eval_acc:    0.834
